Local Date of Joining,Designation,Status,Market Unit,SkillList,Location
30/04/2015,CONSULTANT,Billable,BANK,TeraData Semantic Modeler,Gurgaon
29/06/2015,ASSOCIATE CONSULTANT,Billable,BANK,(T) Data and Semantic Modelling,Bhubaneswar
26/09/2013,SENIOR CONSULTANT,Billable,BANK,(T) Data and Semantic Modelling,Noida
22/05/2017,CONSULTANT,Billable,BANK,(T) Data and Semantic Modelling,Bangalore
21/03/2013,SENIOR CONSULTANT,Billable,BANK,(T) Data and Semantic Modelling,Hartford
24/02/2014,SENIOR CONSULTANT,Billable,BANK,(T) Data and Semantic Modelling,Noida
21/05/2015,SENIOR CONSULTANT,Billable,BANK,(T) Data and Semantic Modelling,Chennai
13/04/2015,ASSOCIATE CONSULTANT,Billable,BANK,(T) Data and Semantic Modelling,Gurgaon
27/06/2013,CONSULTANT,Billable,BANK,(T) Data and Semantic Modelling,Bangalore
05/02/2018,CONSULTANT,Billable,BANK,(T) Data and Semantic Modelling,Hartford
13/11/2008,SENIOR CONSULTANT,Billable,BANK,(T) Data and Semantic Modelling,Hartford
22/01/2015,ASSOCIATE CONSULTANT,Billable,BANK,(T) Data and Semantic Modelling,Hartford
09/05/2016,SENIOR CONSULTANT,Billable,BANK,"(T) Data and Semantic Modelling,TeraData Logical Modeler",Hyderabad
20/06/2008,CONSULTANT,Billable,BANK,"(T) Data and Semantic Modelling,TeraData Logical Modeler",Chennai
20/03/2015,ASSOCIATE CONSULTANT,Billable,BANK,"(T) Data and Semantic Modelling,TeraData Logical Modeler",Pune
16/05/2013,ASSOCIATE CONSULTANT,Billable,BANK,"TeraData Logical Modeler,(T) Data and Semantic Modelling",Bhubaneswar
11/07/2013,ASSOCIATE CONSULTANT,Billable,BANK,"(T) Data and Semantic Modelling,TeraData Logical Modeler",Gurgaon
04/09/2014,ASSOCIATE CONSULTANT,Billable,GP,.Net with MVC,Gurgaon
01/10/2012,MANAGER,Billable,GP,.Net with MVC,Bhubaneswar
13/06/2011,CONSULTANT,Billable,APAC,SAP ABAP,Pune
09/12/2015,CONSULTANT,Billable,APAC,SAP ABAP,Noida
25/04/2013,CONSULTANT,Billable,BANK,Ab Initio,Bhubaneswar
02/05/2013,MANAGER,Billable,APAC,Filenet,Noida
22/06/2015,SENIOR CONSULTANT,Billable,APAC,Murex,Pune
11/08/2008,MANAGER,Billable,APAC,Murex,Pune
18/03/1991,CONSULTANT,Billable,APAC,Temenos,Noida
24/08/2015,MANAGER,Billable,APAC,Siebel EIM,Noida
06/02/2017,CONSULTANT,Billable,APAC,Temenos,Hartford
17/06/2006,DIRECTOR,Bench,APAC,Temenos,Gurgaon
04/06/2012,SENIOR CONSULTANT,Billable,APAC,Temenos,Hyderabad
10/08/2015,CONSULTANT,Billable,APAC,Temenos,Chennai
06/10/2014,CONSULTANT,Billable,APAC,Temenos,Hartford
12/08/2013,ASSOCIATE CONSULTANT,Billable,APAC,Siebel EIM,Bangalore
29/01/2015,ASSOCIATE CONSULTANT,Billable,APAC,"Shell Scripting,Banking,Java (Multi Skilled),Java,PL SQL",Gurgaon
26/02/2015,ASSOCIATE CONSULTANT,Billable,APAC,"BigData,Hadoop",Noida
29/07/2013,SENIOR CONSULTANT,Billable,APAC,"BigData,Hadoop",Hyderabad
17/08/2009,SENIOR CONSULTANT,Billable,APAC,"BigData,Hadoop",Gurgaon
08/06/2015,SENIOR CONSULTANT,Billable,APAC,Pega,Hyderabad
29/09/2014,SENIOR CONSULTANT,Billable,APAC,Pega,Noida
28/06/2010,SENIOR CONSULTANT,Billable,APAC,Pega,Hyderabad
17/09/2012,ASSOCIATE CONSULTANT,Billable,APAC,Pega,Bhubaneswar
26/03/2015,SENIOR SOFTWARE ENGINEER,Billable,APAC,"Shell Scripting,Banking,Java (Multi Skilled),Java,PL SQL",Gurgaon
22/05/2010,SENIOR MANAGER,Bench,APAC,"Shell Scripting,Banking,Java (Multi Skilled),Java,PL SQL",Gurgaon
26/12/2014,SENIOR MANAGER,Billable,APAC,"Shell Scripting,Banking,Java (Multi Skilled),Java,PL SQL",Bhubaneswar
03/02/2014,SENIOR CONSULTANT,Billable,APAC,"Shell Scripting,Banking,Java (Multi Skilled),Java,PL SQL",Noida
24/08/2015,ASSOCIATE CONSULTANT,Billable,APAC,"Shell Scripting,Banking,Java (Multi Skilled),Java,PL SQL",Noida
24/10/2007,MANAGER,Billable,APAC,"Scala,BigData,SparkR,Banking,Hadoop",Bhubaneswar
26/02/2015,SENIOR SOFTWARE ENGINEER,Billable,APAC,"Scala,BigData,SparkR,Banking,Hadoop",Bhubaneswar
10/07/2014,CONSULTANT,Billable,APAC,"Scala,BigData,SparkR,Banking,Hadoop",Chennai
21/11/2013,SENIOR CONSULTANT,Billable,APAC,"PL SQL,Banking,Tableau",Chennai
20/08/2015,ASSOCIATE CONSULTANT,Billable,APAC,"JPA,Spring Integration,AWS - Build , Administration and integration,Spring Batch,Hibernate,Core Java",Hartford
12/07/2007,SENIOR CONSULTANT,Billable,APAC,Hadoop,Gurgaon
02/02/2012,SENIOR CONSULTANT,Billable,APAC,Hadoop,Pune
28/05/2016,MANAGER,Billable,APAC,"Shell Scripting,Oracle RDBMS,PL SQL",Pune
23/02/2015,SENIOR CONSULTANT,Billable,APAC,"Spring Integration,JPA,AWS - Build , Administration and integration,Spring Batch,Hibernate,Core Java",Noida
16/03/2015,ASSOCIATE CONSULTANT,Billable,APAC,"Unix,Oracle RDBMS,Java-Production Support",Pune
10/05/2012,SENIOR CONSULTANT,Billable,APAC,Hadoop,Gurgaon
17/06/2013,ASSOCIATE CONSULTANT,Billable,APAC,"XML,Murex",Noida
08/01/2015,ASSOCIATE CONSULTANT,Billable,APAC,Core Java,Pune
09/01/2014,SENIOR MANAGER,Billable,APAC,"SparkR,Data Warehousing,Java (Multi Skilled),Java,Hadoop",Pune
09/01/2012,CONSULTANT,Billable,APAC,"Java (Multi Skilled),Data Warehousing,Java,SparkR,Hadoop",Chennai
04/10/2012,SENIOR CONSULTANT,Billable,APAC,"JPA,Spring Integration,AWS - Build , Administration and integration,Spring Batch,Hibernate,Core Java",Bangalore
18/11/2013,MANAGER,Billable,APAC,"JPA,Spring Integration,AWS - Build , Administration and integration,Spring Batch,Hibernate,Core Java",Hartford
09/04/2015,ASSOCIATE CONSULTANT,Billable,APAC,"JPA,Spring Integration,AWS - Build , Administration and integration,Spring Batch,Hibernate,Core Java",Gurgaon
30/06/2014,ASSOCIATE CONSULTANT,Billable,APAC,"JPA,Spring Integration,AWS - Build , Administration and integration,Spring Batch,Hibernate,Core Java",Pune
13/05/2003,SENIOR DIRECTOR,Bench,APAC,"JPA,Spring Integration,AWS - Build , Administration and integration,Spring Batch,Hibernate,Core Java",Bhubaneswar
18/10/2014,DIRECTOR,Billable,APAC,"JPA,Spring Integration,AWS - Build , Administration and integration,Spring Batch,Hibernate,Core Java",Noida
01/01/2011,CONSULTANT,Billable,APAC,Hadoop,Gurgaon
03/06/2013,CONSULTANT,Billable,APAC,Hadoop,Noida
13/11/2017,CONSULTANT,Billable,APAC,"Angular.js,AWS - Build , Administration and integration,Core Java",Gurgaon
07/11/2011,SENIOR MANAGER,Billable,APAC,"Angular.js,AWS - Build , Administration and integration,Core Java",Pune
25/05/2006,DIRECTOR,Bench,APAC,"Angular.js,AWS - Build , Administration and integration,Core Java",Pune
10/03/2014,MANAGER,Billable,APAC,"Angular.js,Core Java",Noida
10/03/2010,SENIOR CONSULTANT,Billable,APAC,"Angular.js,Core Java",Hyderabad
24/05/2012,CONSULTANT,Billable,APAC,"Angular.js,Core Java",Bhubaneswar
22/10/2011,MANAGER,Bench,APAC,"Angular.js,Core Java",Noida
06/05/2013,CONSULTANT,Billable,APAC,"Angular.js,Core Java",Chennai
16/07/2015,ASSOCIATE CONSULTANT,Billable,APAC,"Angular.js,Core Java",Gurgaon
01/02/2008,SENIOR DIRECTOR,Billable,APAC,"JPA,Spring Integration,AWS - Build , Administration and integration,Spring Batch,Hibernate,Core Java",Pune
11/05/2015,CONSULTANT,Billable,APAC,"Spring Integration,JPA,AWS - Build , Administration and integration,Spring Batch,Hibernate,Core Java",Gurgaon
26/06/2014,ASSOCIATE CONSULTANT,Billable,APAC,"JPA,Spring Integration,AWS - Build , Administration and integration,Spring Batch,Hibernate,Core Java",Chennai
01/02/2014,DIRECTOR,Billable,APAC,"JPA,Spring Integration,AWS - Build , Administration and integration,Spring Batch,Hibernate,Core Java",Pune
16/01/2014,SENIOR CONSULTANT,Billable,APAC,UIAutomation,Noida
28/11/2016,SENIOR CONSULTANT,Billable,APAC,"Unix,Oracle RDBMS,Java-Production Support",Hartford
08/04/2010,CONSULTANT,Billable,APAC,Test Environment Management,Noida
08/08/2016,MANAGER,Billable,APAC,Murex,Bangalore
25/09/2014,CONSULTANT,Billable,APAC,QlikView,Hartford
09/05/2016,SENIOR MANAGER,Billable,APAC,"Unix,JavaScript,PYTHON",Hyderabad
25/05/2015,ASSOCIATE CONSULTANT,Billable,APAC,"Unix,JavaScript,PYTHON",Hyderabad
21/09/2015,SENIOR MANAGER,Billable,APAC,"Unix,JavaScript,PYTHON",Gurgaon
07/09/2015,SENIOR CONSULTANT,Billable,APAC,"Unix,JavaScript,PYTHON",Pune
16/10/2014,CONSULTANT,Billable,APAC,"Unix,JavaScript,PYTHON",Pune
13/04/2015,SENIOR CONSULTANT,Billable,APAC,"Unix,JavaScript,PYTHON",Chennai
01/01/2011,SENIOR CONSULTANT,Billable,APAC,QlikView,Pune
01/01/2011,SENIOR CONSULTANT,Billable,APAC,"Informatica BI,(T) Mobile Development Technologies,WebMethod",Hartford
01/01/2011,MANAGER,Billable,APAC,Thunderhead,Gurgaon
01/01/2011,SENIOR CONSULTANT,Billable,APAC,"Informatica BI,(T) Mobile Development Technologies,WebMethod",Bhubaneswar
04/09/2012,SENIOR CONSULTANT,Billable,APAC,Pega,Hyderabad
02/01/2013,MANAGER,Billable,APAC,"Informatica BI,(T) Mobile Development Technologies,WebMethod",Pune
14/09/2015,ASSOCIATE CONSULTANT,Billable,APAC,Pega,Bangalore
12/09/2011,SENIOR CONSULTANT,Billable,APAC,Pega,Hartford
06/11/2014,CONSULTANT,Billable,APAC,Pega,Hartford
29/10/2009,SENIOR CONSULTANT,Billable,APAC,Pega,Pune
01/01/2011,MANAGER,Billable,APAC,BPM,Bhubaneswar
01/01/2011,PORTFOLIO MANAGER,Billable,APAC,SAP ABAP,Hyderabad
02/01/2013,EXECUTIVE VICE PRESIDENT,Billable,APAC,"C#,.Net 2.1,VB.NET",Hartford
01/01/2011,SENIOR CONSULTANT,Billable,APAC,"SQL,C#,VB.NET",Gurgaon
27/09/2010,MANAGER,Billable,APAC,OBIEE,Noida
01/01/2012,MANAGER,Billable,APAC,Finacle,Pune
20/01/2014,SENIOR CONSULTANT,Billable,APAC,Finacle,Gurgaon
14/07/2014,SENIOR CONSULTANT,Billable,APAC,Finacle,Bangalore
06/02/2017,CONSULTANT,Billable,APAC,Finacle,Pune
20/07/2015,ASSOCIATE CONSULTANT,Billable,APAC,Finacle,Hyderabad
06/05/2013,SENIOR CONSULTANT,Billable,APAC,Finacle,Bhubaneswar
08/09/2015,MANAGER,Billable,APAC,Finacle,Pune
08/06/2001,PORTFOLIO MANAGER,Bench,APAC,Finacle,Gurgaon
22/12/2014,CONSULTANT,Billable,APAC,Finacle,Bangalore
30/12/2014,MANAGER,Billable,APAC,Finacle,Bhubaneswar
16/06/2008,SENIOR CONSULTANT,Billable,APAC,Finacle,Noida
10/12/2012,SENIOR CONSULTANT,Billable,APAC,Finacle,Pune
02/04/2016,CONSULTANT,Billable,APAC,Finacle,Gurgaon
31/10/2016,MANAGER,Billable,APAC,Finacle,Gurgaon
17/02/2018,MANAGER,Billable,APAC,Finacle,Bhubaneswar
06/01/2014,MANAGER,Billable,APAC,Finacle,Noida
19/03/2015,ASSOCIATE CONSULTANT,Billable,APAC,Finacle,Noida
07/07/2014,SENIOR CONSULTANT,Billable,APAC,Finacle,Gurgaon
11/08/2010,SENIOR CONSULTANT,Billable,APAC,"PL SQL,Oracle Database UNIX Scripting",Noida
01/01/2011,SENIOR CONSULTANT,Billable,APAC,"PL SQL,Oracle Database UNIX Scripting",Bhubaneswar
01/01/2011,DIRECTOR,Billable,APAC,"PL SQL,Oracle Database UNIX Scripting",Bhubaneswar
26/01/2015,MANAGER,Billable,APAC,Informatica BI,Gurgaon
01/11/2012,CONSULTANT,Billable,APAC,Axiom,Pune
21/04/2008,SENIOR CONSULTANT,Billable,APAC,"jQuery,PL SQL,Java (Multi Skilled),Spring,Java",Bangalore
17/09/2012,PORTFOLIO MANAGER,Billable,APAC,Sharepoint 2007,Hartford
07/10/2013,SENIOR CONSULTANT,Billable,APAC,"Unix,Oracle RDBMS,Java-Production Support",Bhubaneswar
02/09/2014,SENIOR CONSULTANT,Billable,APAC,"PL SQL,Java (Multi Skilled),Java,Finacle",Gurgaon
20/08/2015,ASSOCIATE CONSULTANT,Billable,APAC,"Java-Production Support,PeopleSoft Finance",Pune
03/03/2014,SENIOR DIRECTOR,Billable,APAC,"C++/Unix,IBM WebSphere (WAS),Oracle RDBMS,Java (Multi Skilled),Java,Actimize",Noida
27/05/2014,SENIOR CONSULTANT,Billable,APAC,"Hadoop,Talend",Bhubaneswar
17/11/2011,CONSULTANT,Billable,APAC,Finacle,Gurgaon
26/02/2015,CONSULTANT,Billable,APAC,Finacle,Bhubaneswar
27/06/2015,MANAGER,Billable,APAC,Finacle,Hyderabad
16/12/2013,SENIOR CONSULTANT,Billable,APAC,Finacle,Bangalore
21/05/2015,MANAGER,Billable,APAC,Finacle,Bhubaneswar
19/01/2015,ASSOCIATE CONSULTANT,Billable,APAC,Finacle,Gurgaon
07/08/2007,DIRECTOR,Billable,APAC,"ETL,Java (Multi Skilled),Java",Bhubaneswar
18/08/2014,ASSOCIATE CONSULTANT,Billable,APAC,Finacle,Hyderabad
01/06/2011,MANAGER,Billable,APAC,Project Management Framework,Gurgaon
07/09/2015,SENIOR MANAGER,Billable,APAC,"SparkR,Data Warehousing,Java (Multi Skilled),Java,Hadoop",Pune
13/04/2015,ASSOCIATE CONSULTANT,Billable,APAC,"Java,J2EE,JSP,Servlet",Hyderabad
08/10/2008,DIRECTOR,Bench,APAC,"Core Banking,PL SQL,Oracle RDBMS,Finacle",Pune
01/04/2013,CONSULTANT,Billable,APAC,Hadoop-Spark,Noida
14/11/2013,ASSOCIATE CONSULTANT,Billable,APAC,Hadoop-Spark,Noida
01/12/2017,MANAGER,Billable,APAC,Hadoop-Spark,Gurgaon
05/07/2010,SENIOR CONSULTANT,Billable,APAC,"PL SQL,Oracle DB PL/SQL",Noida
23/01/2014,ASSOCIATE CONSULTANT,Billable,APAC,"PL SQL,Oracle DB PL/SQL",Noida
17/07/2015,SENIOR MANAGER,Bench,APAC,"PL SQL,Oracle DB PL/SQL",Gurgaon
17/06/2013,ASSOCIATE CONSULTANT,Billable,APAC,Actimize,Noida
01/07/2015,ASSOCIATE CONSULTANT,Billable,APAC,Actimize,Pune
19/01/2015,ASSOCIATE CONSULTANT,Billable,APAC,Finacle,Bhubaneswar
22/09/2015,SENIOR CONSULTANT,Billable,APAC,Finacle,Bangalore
12/10/2015,PORTFOLIO MANAGER,Billable,APAC,Finacle,Noida
01/12/2014,ASSOCIATE CONSULTANT,Billable,APAC,Finacle,Noida
27/04/2010,MANAGER,Billable,APAC,Finacle,Hartford
01/07/2010,MANAGER,Billable,APAC,Finacle,Bangalore
21/01/2011,SENIOR CONSULTANT,Billable,APAC,Axiom,Pune
01/12/2017,SENIOR CONSULTANT,Billable,APAC,Finacle,Pune
22/10/2012,SENIOR CONSULTANT,Billable,APAC,Finacle,Bangalore
07/01/2013,CONSULTANT,Billable,APAC,Finacle,Hartford
25/02/2013,ASSOCIATE CONSULTANT,Billable,APAC,Finacle,Bhubaneswar
11/03/2013,CONSULTANT,Billable,APAC,Finacle,Gurgaon
01/04/2013,ASSOCIATE CONSULTANT,Billable,APAC,Finacle,Pune
24/06/2013,SENIOR CONSULTANT,Billable,APAC,"Core Banking,PL SQL,Oracle RDBMS,Finacle",Noida
14/11/2013,ASSOCIATE CONSULTANT,Billable,APAC,"Core Banking,PL SQL,Oracle RDBMS,Finacle",Bhubaneswar
09/12/2013,CONSULTANT,Billable,APAC,"Microsoft.Net,Java-Production Support,Actimize",Gurgaon
16/12/2013,ASSOCIATE CONSULTANT,Billable,APAC,"Core Banking,PL SQL,Oracle RDBMS,Finacle",Bhubaneswar
23/12/2013,ASSOCIATE CONSULTANT,Billable,APAC,"SQL,Peoplesoft (ERP)",Hyderabad
28/03/2016,SENIOR CONSULTANT,Billable,APAC,"Core Banking,PL SQL,Oracle RDBMS,Finacle",Bangalore
01/09/2014,CONSULTANT,Billable,APAC,"Core Banking,PL SQL,Oracle RDBMS,Finacle",Bhubaneswar
13/10/2014,CONSULTANT,Billable,APAC,"Core Banking,PL SQL,Oracle RDBMS,Finacle",Gurgaon
27/11/2014,ASSOCIATE CONSULTANT,Billable,APAC,"Core Banking,PL SQL,Oracle RDBMS,Finacle",Bhubaneswar
08/12/2014,ASSOCIATE CONSULTANT,Billable,APAC,"Core Banking,PL SQL,Oracle RDBMS,Finacle",Hyderabad
26/02/2015,ASSOCIATE CONSULTANT,Billable,APAC,PeopleSoft Finance,Gurgaon
26/02/2015,ASSOCIATE CONSULTANT,Billable,APAC,Finacle,Pune
26/02/2015,ASSOCIATE CONSULTANT,Billable,APAC,Finacle,Hyderabad
09/03/2015,ASSOCIATE CONSULTANT,Billable,APAC,Finacle,Pune
30/03/2015,ASSOCIATE CONSULTANT,Billable,APAC,Finacle,Noida
01/04/2015,ASSOCIATE CONSULTANT,Billable,APAC,Finacle,Noida
13/04/2015,ASSOCIATE CONSULTANT,Billable,APAC,Finacle,Gurgaon
09/07/2015,ASSOCIATE CONSULTANT,Billable,APAC,Finacle,Noida
13/07/2015,ASSOCIATE CONSULTANT,Billable,APAC,Finacle,Noida
23/07/2015,CONSULTANT,Billable,APAC,Finacle,Gurgaon
31/08/2015,CONSULTANT,Billable,APAC,Finacle,Noida
25/09/2017,CONSULTANT,Billable,APAC,Finacle,Pune
01/10/2012,MANAGER,Billable,APAC,Finacle,Bhubaneswar
25/02/2013,CONSULTANT,Billable,APAC,Finacle,Bangalore
25/11/2016,ASSOCIATE CONSULTANT,Billable,APAC,Finacle,Noida
24/03/2014,SENIOR CONSULTANT,Billable,APAC,Finacle,Noida
01/01/2011,SENIOR MANAGER,Billable,APAC,Finacle,Hartford
02/02/2015,SENIOR CONSULTANT,Billable,APAC,Finacle,Bangalore
11/08/2014,ASSOCIATE CONSULTANT,Billable,APAC,"Finacle,Selenium",Pune
03/06/2005,SENIOR CONSULTANT,Billable,APAC,Hadoop-Spark,Pune
07/12/2017,SENIOR CONSULTANT,Billable,APAC,Hadoop-Spark,Noida
30/05/2017,CONSULTANT,Billable,APAC,Hadoop-Spark,Hartford
28/07/2010,SENIOR CONSULTANT,Billable,APAC,Hadoop-Spark,Bhubaneswar
29/04/2013,CONSULTANT,Billable,APAC,Hadoop-Spark,Hartford
12/04/2012,CONSULTANT,Billable,APAC,Hadoop-Spark,Pune
23/01/2014,SENIOR CONSULTANT,Billable,APAC,Hadoop-Spark,Hyderabad
06/12/2017,SENIOR CONSULTANT,Billable,APAC,Hadoop-Spark,Hyderabad
05/02/2015,CONSULTANT,Billable,APAC,Hadoop-Spark,Pune
18/12/2014,SENIOR CONSULTANT,Billable,APAC,Hadoop-Spark,Bhubaneswar
01/02/2008,SENIOR DIRECTOR,Billable,APAC,"Java,Angular.js,Spring",Hyderabad
03/03/2014,DIRECTOR,Billable,APAC,Selenium,Bangalore
08/09/2014,SENIOR CONSULTANT,Billable,APAC,PeopleSoft Financials,Pune
01/03/2014,MANAGER,Billable,APAC,PeopleSoft Financials,Bhubaneswar
07/12/2009,PORTFOLIO MANAGER,Billable,APAC,PeopleSoft Financials,Gurgaon
06/07/2007,PORTFOLIO MANAGER,Billable,APAC,"Oracle 10g,Unix Shellscript,PL SQL",Noida
25/08/2010,DIRECTOR,Billable,APAC,"Oracle 10g,Unix Shellscript,PL SQL",Pune
05/01/2015,DIRECTOR,Billable,APAC,"Oracle 10g,Unix Shellscript,PL SQL",Pune
13/04/2010,CONSULTANT,Billable,APAC,"Angular.js,SQL,JavaScript,Core Java",Pune
07/10/2013,CONSULTANT,Billable,APAC,"Angular.js,SQL,JavaScript,Core Java",Bhubaneswar
09/07/2012,DIRECTOR,Billable,APAC,"Angular.js,SQL,JavaScript,Core Java",Bhubaneswar
08/12/2014,CONSULTANT,Billable,APAC,"Angular.js,SQL,JavaScript,Core Java",Noida
08/09/2014,MANAGER,Billable,APAC,"Angular.js,SQL,JavaScript,Core Java",Noida
12/08/2017,SENIOR CONSULTANT,Billable,APAC,"Angular.js,SQL,JavaScript,Core Java",Bhubaneswar
12/03/2012,CONSULTANT,Billable,APAC,"Java,SQL,UI,Spring,JUnit",Pune
23/02/2015,SENIOR CONSULTANT,Billable,APAC,"Java,SQL,UI,Spring,JUnit",Noida
11/08/2015,ASSOCIATE CONSULTANT,Billable,APAC,"Java,SQL,UI,Spring,JUnit",Pune
22/09/2008,SENIOR CONSULTANT,Billable,APAC,"Java,SQL,UI,Spring,JUnit",Gurgaon
22/05/2014,CONSULTANT,Billable,APAC,"Java,SQL,UI,Spring,JUnit",Noida
07/10/2004,MANAGER,Bench,APAC,"Hadoop-HDFS,Hadoop-HIVE,Hadoop-Spark",Pune
24/09/2012,CONSULTANT,Billable,APAC,"Hadoop-HDFS,Hadoop-HIVE,Hadoop-Spark",Pune
24/06/2013,SENIOR CONSULTANT,Billable,APAC,"Hadoop-Spark,Hadoop-HIVE,Hadoop-HDFS",Noida
03/12/2012,CONSULTANT,Billable,APAC,"Hadoop-Spark,Hadoop-HIVE,Hadoop-HDFS",Gurgaon
28/10/2013,SENIOR CONSULTANT,Billable,APAC,"Hadoop-Spark,Hadoop-HDFS,Hadoop-HIVE",Noida
13/08/2016,SENIOR MANAGER,Billable,APAC,"Hadoop-HDFS,Hadoop-Spark,Hadoop-HIVE",Pune
24/01/2015,SENIOR CONSULTANT,Billable,APAC,"Hadoop-Spark,Hadoop-HDFS,Hadoop-HIVE",Gurgaon
06/02/2014,ASSOCIATE CONSULTANT,Billable,APAC,"Hadoop-HIVE,Hadoop-HDFS,Hadoop-Spark",Pune
19/02/2015,CONSULTANT,Billable,APAC,"Hadoop-HDFS,Hadoop-HIVE,Hadoop-Spark",Hartford
28/05/2015,CONSULTANT,Billable,APAC,"Hadoop-HDFS,Hadoop-HIVE,Hadoop-Spark",Bangalore
14/05/2015,CONSULTANT,Billable,APAC,"Hadoop-HDFS,Hadoop-HIVE,Hadoop-Spark",Bhubaneswar
03/08/2015,CONSULTANT,Billable,APAC,"Hadoop-HDFS,Hadoop-HIVE,Hadoop-Spark",Pune
07/08/2014,CONSULTANT,Billable,APAC,"SQL,Unix,Spring,MAVEN,Hadoop-Spark,Core Java",Bhubaneswar
26/03/2015,MANAGER,Billable,APAC,"SQL,UI,Spring,Hadoop-Spark,MAVEN,Core Java",Pune
29/12/2014,CONSULTANT,Billable,APAC,"Unix,UI,Spring,MAVEN,Hadoop-Spark,Core Java",Gurgaon
02/04/2015,SENIOR CONSULTANT,Billable,APAC,"SQL,Unix,UI,MAVEN,Hadoop-Spark,Core Java",Pune
06/03/2017,CONSULTANT,Billable,APAC,Android,Pune
11/09/2014,CONSULTANT,Billable,APAC,"Java,SQL,Jenkins,MAVEN,JavaScript,Angular.js",Pune
06/02/2012,SENIOR CONSULTANT,Billable,APAC,"SQL,UI,Spring,Jenkins,JUnit,MAVEN,Core Java",Chennai
28/07/2014,SENIOR CONSULTANT,Billable,APAC,"SQL,UI,Spring,Jenkins,MAVEN,Core Java",Noida
05/04/2012,CONSULTANT,Billable,APAC,"SQL,UI,Spring,Jenkins,MAVEN,Core Java",Chennai
21/12/2009,CONSULTANT,Billable,APAC,"Oracle 10g,Unix,QlikView",Hyderabad
08/09/2014,ASSOCIATE CONSULTANT,Billable,APAC,"Oracle 10g,Unix,QlikSense,QlikView",Hyderabad
31/01/2013,ASSOCIATE CONSULTANT,Billable,APAC,"Linux,Shell Scripting,SQL,Java",Hyderabad
26/07/2017,SENIOR CONSULTANT,Billable,APAC,Finacle,Pune
02/01/2014,SENIOR DIRECTOR,Billable,APAC,Finacle,Gurgaon
25/02/2017,MANAGER,Bench,APAC,Finacle,Hartford
01/01/2018,MANAGER,Billable,APAC,Finacle,Gurgaon
25/04/2011,CONSULTANT,Billable,APAC,Finacle,Gurgaon
21/07/2014,MANAGER,Billable,APAC,Finacle,Hartford
08/12/2011,SENIOR MANAGER,Billable,APAC,Finacle,Noida
10/09/2007,MANAGER,Bench,APAC,"Angular.js,Spring,Java",Hartford
08/06/2009,SENIOR MANAGER,Billable,APAC,"Angular.js,SQL,Spring,Java",Chennai
07/10/2013,PORTFOLIO MANAGER,Billable,APAC,"Angular.js,Spring,Java",Chennai
24/09/2012,MANAGER,Billable,APAC,"Java,SQL,JavaScript,HTML / HTML 5,Angular.js",Chennai
03/03/2014,CONSULTANT,Billable,APAC,"Java,SQL,JavaScript,HTML / HTML 5,Angular.js",Chennai
02/06/2014,SENIOR CONSULTANT,Billable,APAC,"PL SQL,Oracle Database UNIX Scripting",Bhubaneswar
03/09/2005,MANAGER,Bench,APAC,"PL SQL,Oracle Database UNIX Scripting",Noida
10/01/2017,SENIOR CONSULTANT,Billable,BANK,"Java,Selenium",Chennai
08/04/2013,SENIOR CONSULTANT,Billable,BANK,"Java,Selenium",Bhubaneswar
12/10/2015,CONSULTANT,Billable,BANK,Testing Manual,Bhubaneswar
07/11/2016,CONSULTANT,Billable,BANK,Jenkins,Pune
27/09/2012,CONSULTANT,Billable,BANK,"Java,Angular.js,SQL",Bangalore
15/10/2012,CONSULTANT,Billable,BANK,"ETL Testing,Hadoop-AWS EMR",Hartford
27/02/2018,CONSULTANT,Billable,GP,"Java,J2EE",Gurgaon
12/09/2016,MANAGER,Billable,BANK,"Front End Coding,English",Gurgaon
20/05/2013,CONSULTANT,Billable,BANK,English,Chennai
10/04/2017,SENIOR CONSULTANT,Billable,BANK,Microsoft SQL Server SSAS,Hyderabad
17/10/2013,CONSULTANT,Billable,BANK,Angular.js,Bhubaneswar
28/08/2014,CONSULTANT,Billable,BANK,Front End Coding,Bhubaneswar
09/01/2017,CONSULTANT,Billable,INS,Guidewire ClaimCenter,Bhubaneswar
12/01/2015,ASSOCIATE CONSULTANT,Billable,INS,"Perl,Software Configuration Mgt,PYTHON,Java,AWS - Build , Administration and integration",Bangalore
04/05/2015,MANAGER,Billable,INS,Guidewire ClaimCenter,Bhubaneswar
09/06/2014,CONSULTANT,Billable,INS,"Software Configuration Mgt,PYTHON,Java (Multi Skilled),Java,AWS - Build , Administration and integration",Bhubaneswar
05/06/2014,ASSOCIATE CONSULTANT,Billable,INS,ETL,Bhubaneswar
25/11/2013,MANAGER,Billable,INS,"Java (Multi Skilled),Java,Mulesoft ESB",Pune
19/05/2014,VICE PRESIDENT,Billable,INS,ETL,Hyderabad
26/03/2015,ASSOCIATE CONSULTANT,Billable,INS,ETL,Pune
07/06/2010,SENIOR MANAGER,Billable,BANK,Mainframe DB2,Pune
20/12/2012,CONSULTANT,Billable,BANK,Mainframe Development Environment,Bhubaneswar
07/01/2013,ASSOCIATE CONSULTANT,Billable,BANK,Mainframe Development Environment,Hyderabad
27/09/2013,MANAGER,Billable,BANK,"(D) Capital Markets Sector,Business Analytics",Pune
23/02/2015,CONSULTANT,Billable,BANK,(T) Data Science and Analytics,Pune
31/03/2018,SENIOR CONSULTANT,Billable,BANK,SparkR,Chennai
